epoch,train_loss,train_acc,val_acc,val_mae
1,3.8717127641042075,0.4595238095238095,0.4777777777777778,0.9858326647016737
2,3.1887915679386682,0.4976190476190476,0.4777777777777778,0.9018265618218316
3,2.915200458254133,0.49047619047619045,0.4777777777777778,0.9060773902469211
4,2.706358966373262,0.5,0.4777777777777778,0.9057184722688463
5,2.6953591914404007,0.48095238095238096,0.4777777777777778,0.8957900100284153
6,2.5999010358537946,0.4738095238095238,0.4777777777777778,0.9179849995507134
7,2.6009632246834893,0.5,0.4777777777777778,0.9085635715060764
8,2.515441910425822,0.5023809523809524,0.4777777777777778,0.8946483347151014
9,2.5376850480125066,0.49523809523809526,0.4777777777777778,0.8780656655629476
10,2.641340528215681,0.4785714285714286,0.4777777777777778,0.9131943888134426
11,2.679340923400152,0.49047619047619045,0.4777777777777778,0.8841492573420207
12,2.457727146148682,0.5023809523809524,0.4777777777777778,0.8278277582592435
13,2.662427636555263,0.4976190476190476,0.4777777777777778,0.7021339972813924
14,1.9085416294279554,0.5238095238095238,0.5444444444444444,0.6047166546185812
15,1.8480172815777007,0.530952380952381,0.5444444444444444,0.7938315073649088
16,1.8879219282241095,0.5595238095238095,0.5444444444444444,0.6234304560555353
17,2.0204130218142553,0.5261904761904762,0.6222222222222222,0.6949636379877726
18,2.4266028676714217,0.5333333333333333,0.4444444444444444,0.9643300520049201
19,2.458396577835083,0.530952380952381,0.4888888888888889,0.7406917598512438
20,2.043301757176717,0.5595238095238095,0.4888888888888889,0.7158098936080932
